"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"26608","RTX A6000","2","0.28","False","Xeon® Gold 6226 ","48","24","96","1.15","7.8","1475.53","8893.5","8130.4","26.67","26.67","0.67",,"X11DPG-QT","44.99"
,"29792","RTX A6000","2","0.3","False","Xeon® Gold 6226 ","48","24","96","1.1","7.7","1362","7579.2","6862.4","26.67","26.67","0.4",,"X11DPG-QT","44.99"
,"27077","RTX A6000","2","0.28","False","Xeon® Gold 6248 ","80","20","192","0.33","7.6","2229.8","8077.5","7546.1","26.67","26.67","0.2",,"X11DPG-OT-","44.99"
,"16127","RTX A6000","2","0.28","False","Xeon® Gold 6248R ","36","9","96","0.21","8","4295.4","872.1","455.5","0","0","0.2",,,"47.99"
,"29796","RTX A6000","2","0.3","False","Xeon® Gold 6226 ","48","24","96","1.04","7.8","1298","8741.5","7295.4","26.67","26.67","0.2",,"X11DPG-QT","47.99"
,"24997","RTX A6000","2","0.35","False","AMD EPYC 7542 32-Core Processor","64","32","256","0.93","24.3","5596.9","780.9","898.7","2.67","4","0.4",,"MZ22-G20-00","47.99"
,"14804","RTX A6000","2","0.29","False","Xeon® Gold 6248R ","48","12","96","0.49","11.3","3108.5","804.2","429.1","0","0","0.2",,,"47.99"
,"3624","RTX A6000","2","0.33","False","AMD EPYC 7452 32-Core Processor","64","21.33","192","0.76","12.4","10065.18","2350","2733.1","2.67","4","0.2",,"ROMED8-2T","47.99"
,"31530","RTX A6000","2","0.31","False","12th Gen Core™ i5-12400F","12","12","128","0.19","6.3","2056","881","851.8","0","0","0.2",,"PRIME H770-PLUS D4","47.99"
,"51579","RTX A6000","2","0.32","False","Xeon® E5-2650 v4 ","48","16","512","1.31","10","3441","2300","2187.8","2.67","4","0.27",,"X10DRG-O","47.99"
,"123111","RTX A6000","2","0.34","False","AMD Ryzen Threadripper 3970X 32-Core Processor","64","64","128","1.5","22.3","3759","77.7","88.8","2.67","4","0.2",,"TRX40 AORUS XTREME","47.99"
,"58626","RTX A6000","2","0.29","False","AMD Ryzen Threadripper 3970X 32-Core Processor","64","64","256","0.47","24.2","2735.1","921.7","939.1","2.67","4","0.13",,"TRX40 AORUS MASTER","47.99"
